,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_gamma,param_kernel,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
23,0.017632007598876953,0.001560471999384295,0.00791473388671875,0.0005765307205458861,10,0.01,rbf,"{'C': 10, 'gamma': 0.01, 'kernel': 'rbf'}",0.69137092285449,0.7191215106763236,0.7038321127874542,0.7866173965899752,0.690798046034155,0.7183479977884796,0.03566169504083622,3
24,0.02549910545349121,0.0055677503403476795,0.006070566177368164,0.0006336114012528217,10,0.001,linear,"{'C': 10, 'gamma': 0.001, 'kernel': 'linear'}",0.6443928906946352,0.6860019316894306,0.6795961166547636,0.7154001962533258,0.6055645159510887,0.6661911302486488,0.03780064364575329,15
25,0.028400373458862305,0.0026254854520203976,0.00957956314086914,0.0008846729044423105,10,0.001,poly,"{'C': 10, 'gamma': 0.001, 'kernel': 'poly'}",0.11585551341890987,0.11621269774687581,0.108956661251008,0.11076683519963548,0.14351907336228376,0.11906215619574259,0.012549710332494527,34
26,0.016205692291259767,0.002296317464555903,0.008467531204223633,0.0013531212718145618,10,0.001,rbf,"{'C': 10, 'gamma': 0.001, 'kernel': 'rbf'}",0.7072956911627447,0.7583868297834535,0.7080582787934904,0.7701417290053055,0.6910755784586445,0.7269916214407278,0.031253653119344325,1
27,0.028536462783813478,0.005938640666274213,0.006619501113891602,0.0009597800352210759,100,0.1,linear,"{'C': 100, 'gamma': 0.1, 'kernel': 'linear'}",0.6443928906946352,0.6860019316894306,0.6795961166547636,0.7154001962533258,0.6055645159510887,0.6661911302486488,0.03780064364575329,15
28,0.016817760467529298,0.001783016109604682,0.007179689407348633,0.001249549961616471,100,0.1,poly,"{'C': 100, 'gamma': 0.1, 'kernel': 'poly'}",0.6947280067621945,0.7077557499660895,0.687912109250259,0.7436058160848307,0.7085623326649684,0.7085128029456683,0.01921720239860316,9
29,0.026421213150024415,0.0030724065587570417,0.013456201553344727,0.0015617442250262141,100,0.1,rbf,"{'C': 100, 'gamma': 0.1, 'kernel': 'rbf'}",0.4952093217844248,0.4824981055263232,0.5407032369285013,0.5507021650193207,0.5744870879857735,0.5287199834488687,0.03458574553807088,29
30,0.03088488578796387,0.007836679685141392,0.0076143741607666016,0.0008857905888579735,100,0.01,linear,"{'C': 100, 'gamma': 0.01, 'kernel': 'linear'}",0.6443928906946352,0.6860019316894306,0.6795961166547636,0.7154001962533258,0.6055645159510887,0.6661911302486488,0.03780064364575329,15
31,0.018152379989624025,0.0028132619790607162,0.008101749420166015,0.002133484076548153,100,0.01,poly,"{'C': 100, 'gamma': 0.01, 'kernel': 'poly'}",0.6947280267275078,0.7077557414475956,0.6879121096833392,0.7436058363507814,0.7085623502043015,0.7085128128827052,0.01921720691925821,7
32,0.018922090530395508,0.003134220190029425,0.010526657104492188,0.0030492962245050443,100,0.01,rbf,"{'C': 100, 'gamma': 0.01, 'kernel': 'rbf'}",0.69137092285449,0.7191215106763236,0.7038321127874542,0.7866173965899752,0.690798046034155,0.7183479977884796,0.03566169504083622,3
33,0.03255128860473633,0.006351599441408485,0.00727548599243164,0.001371762660372263,100,0.001,linear,"{'C': 100, 'gamma': 0.001, 'kernel': 'linear'}",0.6443928906946352,0.6860019316894306,0.6795961166547636,0.7154001962533258,0.6055645159510887,0.6661911302486488,0.03780064364575329,15
34,0.020821809768676758,0.0030416401694150714,0.008747720718383789,0.0006744745485446361,100,0.001,poly,"{'C': 100, 'gamma': 0.001, 'kernel': 'poly'}",0.3779621225793305,0.4060674059017845,0.382226009056291,0.40943543028455875,0.46799879529384514,0.4087379526231619,0.03215431739439798,33
35,0.0278292179107666,0.005235863239585966,0.01105360984802246,0.0010265928984479248,100,0.001,rbf,"{'C': 100, 'gamma': 0.001, 'kernel': 'rbf'}",0.6698194034963725,0.7102848094535769,0.6932004518858348,0.7388815354893814,0.6203440057499097,0.686506041215015,0.04002323367469473,14
