,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_ccp_alpha,param_criterion,param_max_depth,param_max_features,param_min_samples_leaf,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
24,0.4287099838256836,0.07216084360249818,0.0049549579620361325,0.0010178626962867028,0.01,absolute_error,7,1.0,1,"{'ccp_alpha': 0.01, 'criterion': 'absolute_error', 'max_depth': 7, 'max_features': 1.0, 'min_samples_leaf': 1}",0.308108455168398,0.3238183565671263,0.290351992185374,0.31053215966937087,0.3244753149654168,0.3114572557111372,0.012488147159393363,30
25,0.3796715259552002,0.02928878240602244,0.004883193969726562,0.0008779893529085394,0.01,absolute_error,7,1.0,2,"{'ccp_alpha': 0.01, 'criterion': 'absolute_error', 'max_depth': 7, 'max_features': 1.0, 'min_samples_leaf': 2}",0.308108455168398,0.3238183565671263,0.290351992185374,0.31053215966937087,0.3244753149654168,0.3114572557111372,0.012488147159393363,30
26,0.3593663215637207,0.03889468259900793,0.005024242401123047,0.0009121386628019966,0.01,absolute_error,7,1.0,3,"{'ccp_alpha': 0.01, 'criterion': 'absolute_error', 'max_depth': 7, 'max_features': 1.0, 'min_samples_leaf': 3}",0.308108455168398,0.3238183565671263,0.290351992185374,0.31053215966937087,0.3244753149654168,0.3114572557111372,0.012488147159393363,30
27,0.029209184646606445,0.00042152478684062824,0.004128837585449218,0.0007336842441588489,0.001,absolute_error,5,sqrt,1,"{'ccp_alpha': 0.001, 'criterion': 'absolute_error', 'max_depth': 5, 'max_features': 'sqrt', 'min_samples_leaf': 1}",0.4861708502248697,0.48507833193389904,0.5161534893559375,0.6275516078690813,0.658947499511497,0.5547803557790569,0.0737619416153008,11
28,0.030965232849121095,0.002449797502710216,0.0039211750030517575,0.0002261797832811583,0.001,absolute_error,5,sqrt,2,"{'ccp_alpha': 0.001, 'criterion': 'absolute_error', 'max_depth': 5, 'max_features': 'sqrt', 'min_samples_leaf': 2}",0.5282086195515292,0.5170181713818922,0.48397654454928185,0.6269392181257174,0.5750720650505001,0.5462429237317841,0.04979846497988562,12
29,0.02541656494140625,0.0016996490541643738,0.003956651687622071,0.00021906890273762583,0.001,absolute_error,5,sqrt,3,"{'ccp_alpha': 0.001, 'criterion': 'absolute_error', 'max_depth': 5, 'max_features': 'sqrt', 'min_samples_leaf': 3}",0.6164997799042139,0.4773568392925924,0.5079523257154189,0.4245063474199985,0.5608295961027847,0.5174289776870017,0.0663759534088419,15
30,0.02120199203491211,0.0031611424404181304,0.0040587902069091795,0.000500393113750042,0.001,absolute_error,5,log2,1,"{'ccp_alpha': 0.001, 'criterion': 'absolute_error', 'max_depth': 5, 'max_features': 'log2', 'min_samples_leaf': 1}",0.4548658474989501,0.3712868481894106,0.32032811513526904,0.521681811311263,0.5437749488147197,0.44238751418992245,0.08564637512613785,24
31,0.020564794540405273,0.002027788674862329,0.004296541213989258,0.0005053609423219632,0.001,absolute_error,5,log2,2,"{'ccp_alpha': 0.001, 'criterion': 'absolute_error', 'max_depth': 5, 'max_features': 'log2', 'min_samples_leaf': 2}",0.38137506386714615,0.29098283168682004,0.2993801846221915,0.5607420174952797,0.47253440519693546,0.40100290057367455,0.10339263567349853,27
32,0.028966188430786133,0.0048340651345739226,0.005560159683227539,0.0014358586351474756,0.001,absolute_error,5,log2,3,"{'ccp_alpha': 0.001, 'criterion': 'absolute_error', 'max_depth': 5, 'max_features': 'log2', 'min_samples_leaf': 3}",0.46735253536638477,0.33105035153264617,0.48032201162327726,0.40119193776106676,0.5924067392234909,0.45446471510137315,0.08709970339115468,21
33,0.5972039699554443,0.1360120861264448,0.006736230850219726,0.0009594234316744018,0.001,absolute_error,5,1.0,1,"{'ccp_alpha': 0.001, 'criterion': 'absolute_error', 'max_depth': 5, 'max_features': 1.0, 'min_samples_leaf': 1}",0.6479506238781356,0.5677703956269383,0.6746293225551551,0.7234847046794248,0.6405394627695975,0.6508749019018503,0.050711315556167126,1
34,0.39177961349487306,0.047737491709388985,0.006020879745483399,0.0010380016357409297,0.001,absolute_error,5,1.0,2,"{'ccp_alpha': 0.001, 'criterion': 'absolute_error', 'max_depth': 5, 'max_features': 1.0, 'min_samples_leaf': 2}",0.6479506238781356,0.5677703956269383,0.6746293225551551,0.7234847046794248,0.6405394627695975,0.6508749019018503,0.050711315556167126,1
